age,education,income,hour_per_week,zip_code,married,race,sex,approved
15-25,some HS,low,full-time,3,no,black,male,no
15-25,some HS,low,full-time,1,no,black,female,no
15-25,some HS,low,full-time,3,no,white,male,no
15-25,some HS,very low,full-time,3,no,white,male,no
15-25,some HS,low,full-time,1,no,white,male,no
15-25,some HS,low,full-time,2,no,white,male,no
15-25,some HS,low,full-time,3,no,white,male,no
15-25,some HS,very low,full-time,1,no,white,female,no
15-25,some HS,middle class,full-time,3,no,white,female,no
15-25,some HS,low,full-time,3,no,white,male,no
15-25,some HS,middle class,full-time,1,no,white,male,no
15-25,some HS,very low,full-time,2,no,white,male,no
15-25,some HS,very low,full-time,2,no,black,female,no
15-25,some HS,very low,full-time,1,no,black,female,no
15-25,some HS,low,full-time,2,no,white,male,no
15-25,some HS,very low,full-time,3,no,white,female,no
15-25,some HS,very low,full-time,1,no,white,male,no
15-25,some HS,very low,full-time,3,no,white,male,no
15-25,HS grad,low,full-time,2,no,black,female,no
15-25,HS grad,very low,full-time,1,no,white,male,no
15-25,HS grad,middle class,full-time,2,no,white,female,no
15-25,some college,low,full-time,2,no,black,male,no
15-25,some college,middle class,full-time,1,no,black,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,low,few,3,no,white,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,HS grad,very low,few,1,no,white,female,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some college,middle class,few,1,no,white,male,no
15-25,some college,low,few,3,no,white,male,no
15-25,some HS,low,part-time,2,no,white,female,no
15-25,some HS,low,part-time,1,no,black,female,no
15-25,HS grad,low,part-time,3,no,white,female,no
15-25,HS grad,low,part-time,3,no,white,female,no
15-25,some HS,low,full-time,1,no,white,female,no
15-25,some HS,very low,full-time,2,no,black,female,no
15-25,some HS,very low,full-time,3,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,low,few,3,no,white,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some college,low,few,2,no,white,male,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,very low,part-time,3,no,white,male,no
15-25,some HS,very low,part-time,3,no,white,male,no
15-25,some HS,low,full-time,1,no,white,male,no
15-25,some HS,middle class,full-time,2,no,white,male,no
15-25,some HS,low,full-time,2,no,white,male,no
15-25,some HS,middle class,full-time,1,no,white,male,no
15-25,some HS,very low,full-time,2,no,white,male,no
15-25,some college,low,full-time,3,no,white,female,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,low,few,3,no,white,male,no
15-25,some HS,low,full-time,1,no,white,male,no
15-25,some HS,low,full-time,2,no,black,male,no
15-25,some HS,middle class,full-time,2,no,white,male,no
15-25,some HS,very low,full-time,1,no,white,male,no
15-25,some college,middle class,full-time,3,no,black,male,no
15-25,some HS,low,full-time,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,low,few,3,no,white,male,no
15-25,some HS,low,few,1,no,black,female,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,low,few,1,no,white,male,no
15-25,HS grad,low,few,2,no,white,male,no
15-25,HS grad,low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,low,few,1,no,white,male,no
15-25,HS grad,low,few,3,no,white,male,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,low,few,2,no,black,male,no
15-25,some HS,low,few,3,no,white,male,no
15-25,some HS,low,few,1,no,white,male,no
15-25,HS grad,low,few,2,no,white,male,no
15-25,HS grad,low,few,3,no,white,male,no
15-25,HS grad,low,few,1,no,white,male,no
15-25,some HS,very low,part-time,3,no,white,female,no
15-25,some HS,very low,part-time,3,no,white,male,no
15-25,some HS,very low,part-time,1,no,white,male,no
15-25,some HS,very low,part-time,2,no,white,male,no
15-25,some HS,low,part-time,2,no,white,male,no
15-25,some HS,very low,part-time,1,no,white,male,no
15-25,some HS,very low,part-time,2,no,white,male,no
15-25,some HS,low,full-time,3,no,white,male,no
15-25,some HS,low,full-time,1,no,white,male,no
15-25,some HS,very low,few,2,no,black,male,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,low,few,3,no,white,female,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,HS grad,low,few,2,no,white,female,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,low,few,2,no,white,male,no
15-25,HS grad,low,few,1,no,white,female,no
15-25,some HS,very low,few,2,no,black,male,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,low,few,3,no,white,male,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,low,few,3,no,white,male,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,low,few,2,no,black,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,low,few,3,no,white,female,no
15-25,some HS,low,few,1,no,white,female,no
15-25,HS grad,low,few,2,no,white,male,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,some HS,low,few,2,no,black,male,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,low,few,3,no,white,male,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,low,few,3,no,white,male,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,HS grad,very low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,low,few,2,no,black,male,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,HS grad,low,few,2,no,white,male,no
15-25,HS grad,low,few,1,no,white,female,no
15-25,HS grad,very low,few,3,no,white,male,no
15-25,HS grad,low,few,3,no,white,male,no
15-25,HS grad,low,few,1,no,white,female,no
15-25,some HS,very low,few,2,no,black,male,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,low,few,1,no,white,male,no
15-25,HS grad,low,few,2,no,black,male,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,very low,few,1,no,black,female,no
15-25,some HS,very low,few,2,no,black,male,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,low,few,1,no,black,female,no
15-25,some HS,low,few,3,no,black,male,no
15-25,some HS,low,few,2,no,black,male,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,low,few,3,no,white,male,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,low,few,3,no,white,male,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,low,few,3,no,white,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,very low,part-time,1,no,white,female,no
15-25,some HS,low,part-time,3,no,white,female,no
15-25,some HS,very low,part-time,3,no,white,male,no
15-25,some HS,low,part-time,1,no,white,male,no
15-25,some HS,very low,part-time,2,no,white,female,no
15-25,some HS,low,part-time,3,no,white,male,no
15-25,some HS,low,part-time,1,no,white,female,no
15-25,some HS,low,part-time,2,no,white,male,no
15-25,some HS,low,part-time,3,no,white,female,no
15-25,some HS,low,part-time,1,no,white,female,no
15-25,some HS,very low,part-time,2,no,black,female,no
15-25,some HS,low,part-time,2,no,black,female,no
15-25,some HS,very low,part-time,1,no,white,male,no
15-25,some HS,low,part-time,2,no,white,female,no
15-25,some HS,very low,part-time,3,no,white,male,no
15-25,some HS,low,part-time,1,no,white,male,no
15-25,some HS,very low,part-time,2,no,white,male,no
15-25,HS grad,very low,part-time,2,no,white,female,no
15-25,some HS,low,part-time,1,no,black,male,no
15-25,some HS,low,part-time,2,no,white,male,no
15-25,some HS,very low,part-time,2,no,white,male,no
15-25,some HS,low,part-time,1,no,white,male,no
15-25,some HS,very low,part-time,3,no,white,male,no
15-25,some HS,low,part-time,2,no,white,female,no
15-25,some HS,low,part-time,1,no,white,female,no
15-25,HS grad,very low,part-time,2,no,white,female,no
15-25,some HS,very low,full-time,2,no,black,male,no
15-25,some HS,very low,full-time,1,no,white,female,no
15-25,some HS,very low,full-time,2,no,black,male,no
15-25,HS grad,low,full-time,2,no,white,male,no
15-25,some college,middle class,full-time,1,no,white,male,no
15-25,some HS,very low,full-time,2,no,black,female,no
15-25,some HS,low,full-time,2,no,black,male,no
15-25,some HS,middle class,full-time,1,yes,white,male,no
15-25,some HS,low,full-time,3,no,white,female,no
15-25,some HS,low,full-time,2,no,white,male,no
15-25,some HS,very low,full-time,1,no,white,male,no
15-25,some HS,middle class,full-time,2,no,white,male,no
15-25,some HS,middle class,full-time,3,no,white,male,no
15-25,some college,low,full-time,1,no,white,male,no
15-25,some HS,low,full-time,2,no,white,male,no
15-25,some HS,low,full-time,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,low,part-time,1,no,white,female,no
15-25,some HS,very low,part-time,2,no,white,female,no
15-25,some HS,very low,part-time,3,no,white,male,no
15-25,some HS,low,part-time,1,no,white,male,no
15-25,some HS,low,full-time,3,no,white,female,no
15-25,HS grad,low,few,2,no,white,male,no
15-25,some HS,low,few,1,no,black,female,no
15-25,some HS,very low,few,2,no,black,male,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,HS grad,very low,few,1,no,white,male,no
15-25,some HS,low,full-time,2,no,white,female,no
15-25,some HS,low,full-time,3,no,white,male,no
15-25,some HS,very low,part-time,1,no,white,female,no
15-25,some HS,very low,part-time,3,no,white,male,no
15-25,some HS,low,full-time,2,no,white,female,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,HS grad,low,few,1,no,white,female,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,some HS,low,few,2,no,white,female,no
15-25,HS grad,low,few,2,no,white,female,no
15-25,some HS,very low,few,1,no,black,female,no
15-25,some HS,low,few,3,no,white,female,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,low,few,3,no,white,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,low,few,3,no,white,female,no
15-25,some HS,low,few,3,no,white,female,no
15-25,some HS,very low,few,1,no,black,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,low,few,2,no,black,female,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,low,few,3,no,white,male,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,HS grad,very low,few,2,no,white,female,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,low,few,3,no,white,female,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,low,few,1,no,white,female,no
15-25,HS grad,low,few,3,no,white,female,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,low,few,3,no,white,male,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,HS grad,very low,few,2,no,white,male,no
15-25,HS grad,very low,few,3,no,white,female,no
15-25,HS grad,low,few,1,no,white,female,no
15-25,some college,low,few,3,no,white,female,no
15-25,some college,low,few,2,no,white,female,no
15-25,some HS,very low,part-time,1,no,black,male,no
15-25,HS grad,very low,part-time,3,no,white,female,no
15-25,some HS,low,part-time,2,no,black,female,no
15-25,some HS,low,part-time,1,no,white,female,no
15-25,some HS,low,part-time,3,no,white,female,no
15-25,some HS,very low,part-time,3,no,white,male,no
15-25,some HS,low,part-time,1,no,white,male,no
15-25,some HS,low,part-time,2,yes,white,female,no
15-25,some HS,very low,part-time,2,no,white,male,no
15-25,some HS,low,part-time,1,no,black,female,no
15-25,some HS,low,part-time,2,no,white,female,no
15-25,some HS,very low,part-time,3,no,white,male,no
15-25,some HS,low,part-time,1,no,white,male,no
15-25,some HS,low,full-time,2,no,black,female,no
15-25,some HS,low,full-time,2,no,white,female,no
15-25,some HS,middle class,full-time,1,no,white,female,no
15-25,some HS,low,full-time,3,no,white,female,no
15-25,HS grad,low,full-time,2,no,white,male,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some college,middle class,few,2,no,white,female,no
15-25,some college,low,few,3,no,white,male,no
15-25,some college,very low,few,1,no,white,female,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,low,few,3,no,white,female,no
15-25,some college,low,few,1,no,white,male,no
15-25,some college,low,few,3,no,white,male,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,HS grad,very low,few,1,no,white,female,no
15-25,some college,middle class,few,2,no,black,female,no
15-25,some college,low,few,2,no,white,female,no
15-25,some HS,low,few,1,no,black,male,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some college,low,few,2,no,white,female,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some college,middle class,few,2,no,white,male,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,HS grad,low,few,1,no,black,male,no
15-25,some college,middle class,few,3,no,black,female,no
15-25,some college,low,few,2,no,white,female,no
15-25,some college,low,few,1,no,white,female,no
15-25,some college,middle class,few,3,no,white,female,no
15-25,some college,middle class,few,3,no,white,male,no
15-25,some college,middle class,few,1,no,white,female,no
15-25,some college,low,few,3,no,white,male,no
15-25,some college,low,few,3,no,white,female,no
15-25,some college,middle class,few,1,no,white,female,no
15-25,some college,middle class,few,2,no,white,female,no
15-25,some college,middle class,few,2,no,white,female,no
15-25,HS grad,low,part-time,1,no,black,female,no
15-25,HS grad,very low,part-time,3,no,white,female,no
15-25,some college,low,part-time,3,no,white,female,no
15-25,some college,low,part-time,1,no,black,female,no
15-25,some college,middle class,part-time,3,no,white,female,no
15-25,some HS,low,part-time,3,no,white,male,no
15-25,some HS,low,part-time,1,no,white,male,no
15-25,some HS,low,part-time,2,no,white,male,no
15-25,some HS,low,part-time,2,no,white,male,no
15-25,some HS,low,part-time,1,no,white,female,no
15-25,some HS,low,part-time,2,no,white,female,no
15-25,HS grad,low,part-time,3,no,black,male,no
15-25,HS grad,very low,part-time,1,no,white,male,no
15-25,HS grad,low,part-time,3,no,white,female,no
15-25,HS grad,low,part-time,2,no,white,male,no
15-25,some college,middle class,part-time,1,no,black,female,no
15-25,some college,middle class,part-time,2,no,white,male,no
15-25,some college,low,part-time,3,no,white,female,no
15-25,some HS,very low,part-time,1,no,white,male,no
15-25,some HS,very low,part-time,3,no,black,male,no
15-25,some HS,low,part-time,2,no,white,female,no
15-25,some HS,low,part-time,1,no,white,female,no
15-25,some HS,very low,part-time,2,no,white,male,no
15-25,some college,middle class,part-time,2,no,white,male,no
15-25,some college,low,part-time,1,no,white,female,no
15-25,some college,low,part-time,3,no,white,male,no
15-25,some college,middle class,part-time,3,no,white,female,no
15-25,some college,middle class,part-time,1,no,white,female,no
15-25,some college,low,part-time,3,no,white,male,no
15-25,some college,low,full-time,2,no,white,male,no
15-25,some HS,very low,full-time,1,no,white,male,no
15-25,some HS,very low,full-time,3,no,white,female,no
15-25,some college,middle class,full-time,3,no,white,female,no
15-25,some college,middle class,full-time,1,no,white,female,no
15-25,some HS,low,full-time,2,no,white,male,no
15-25,some college,middle class,full-time,3,no,black,female,no
15-25,some HS,very low,full-time,1,no,white,male,no
15-25,some HS,very low,full-time,2,no,white,male,no
15-25,some HS,very low,full-time,3,no,white,male,no
15-25,some HS,low,full-time,1,no,white,male,no
15-25,some HS,very low,full-time,2,no,white,male,no
15-25,some HS,low,full-time,3,no,white,male,no
15-25,HS grad,very low,full-time,1,no,black,male,no
15-25,some college,low,full-time,2,no,black,female,no
15-25,some college,middle class,full-time,3,no,white,female,no
15-25,some college,low,full-time,1,no,white,male,no
15-25,some college,low,full-time,3,no,white,male,no
15-25,some college,low,full-time,3,no,white,male,no
15-25,some college,middle class,full-time,1,no,black,female,no
15-25,some college,middle class,full-time,3,no,black,female,no
15-25,some college,middle class,full-time,3,no,white,male,no
15-25,some college,middle class,full-time,1,no,white,male,yes
15-25,some college,middle class,full-time,3,no,white,female,no
15-25,some college,low,full-time,3,no,white,male,no
15-25,some college,low,full-time,1,no,white,female,no
15-25,some college,middle class,full-time,3,no,white,female,no
15-25,some college,low,full-time,2,no,white,female,no
15-25,some college,middle class,full-time,1,no,white,female,no
15-25,some college,low,full-time,3,no,white,male,no
15-25,some HS,low,full-time,2,no,black,male,no
15-25,some college,middle class,full-time,1,no,white,male,yes
15-25,some HS,low,full-time,2,no,black,female,no
15-25,some college,low,overtime,2,no,white,male,no
15-25,some college,middle class,overtime,1,no,white,female,no
15-25,some college,middle class,overtime,3,no,white,male,yes
15-25,some HS,low,overtime,3,no,white,male,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some college,middle class,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,HS grad,very low,few,3,no,white,male,no
15-25,HS grad,low,few,2,no,white,female,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some college,low,few,2,no,black,male,no
15-25,some college,middle class,few,1,no,white,female,no
15-25,some college,low,few,2,no,white,male,no
15-25,some college,low,few,2,no,white,female,no
15-25,some college,middle class,few,1,no,white,female,no
15-25,some HS,low,few,2,no,black,female,no
15-25,some HS,low,few,2,no,black,male,no
15-25,some HS,low,few,1,no,white,female,no
15-25,HS grad,low,few,2,no,white,female,no
15-25,some college,low,few,3,no,white,female,no
15-25,some college,middle class,few,1,no,white,male,no
15-25,some college,middle class,few,3,no,white,female,no
15-25,some college,middle class,few,2,no,white,female,no
15-25,some college,middle class,few,1,no,white,female,no
15-25,some college,low,few,2,no,white,female,no
15-25,some HS,low,part-time,3,no,white,female,no
15-25,some college,low,part-time,1,no,white,female,no
15-25,some college,middle class,part-time,2,no,white,female,no
15-25,some college,low,part-time,2,no,white,male,no
15-25,some college,middle class,part-time,1,no,white,female,no
15-25,some college,middle class,part-time,2,no,white,male,no
15-25,some college,middle class,part-time,2,no,white,female,no
15-25,HS grad,low,part-time,1,no,white,female,no
15-25,HS grad,low,part-time,3,no,white,female,no
15-25,some college,middle class,part-time,2,no,white,female,no
15-25,some college,middle class,part-time,1,no,white,female,no
15-25,some college,low,part-time,2,no,white,male,no
15-25,HS grad,low,full-time,2,no,white,male,no
15-25,some college,middle class,full-time,1,no,white,male,no
15-25,some college,middle class,full-time,3,no,white,female,no
15-25,some college,low,full-time,2,no,white,female,no
15-25,some HS,very low,full-time,1,no,white,male,no
15-25,HS grad,low,full-time,2,no,white,male,no
15-25,some college,low,full-time,2,no,black,male,no
15-25,some college,low,full-time,1,no,white,male,no
15-25,some college,middle class,full-time,3,no,white,male,no
15-25,some college,middle class,full-time,2,yes,white,female,no
15-25,some college,middle class,full-time,1,no,white,female,no
15-25,some college,middle class,full-time,2,no,white,female,no
15-25,some college,low,full-time,3,no,white,female,no
15-25,some college,low,full-time,1,no,white,female,no
15-25,some college,middle class,full-time,2,no,white,female,no
15-25,some college,middle class,full-time,3,no,white,female,no
15-25,some college,low,full-time,1,no,white,female,no
15-25,some college,low,full-time,2,no,white,male,no
15-25,some college,low,full-time,2,no,white,male,no
15-25,some college,low,full-time,1,no,white,male,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,HS grad,very low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,HS grad,very low,few,2,no,white,male,no
15-25,some college,middle class,few,3,no,white,female,no
15-25,some HS,low,part-time,1,no,white,male,no
15-25,some college,low,part-time,3,yes,white,male,no
15-25,some college,low,part-time,3,no,white,male,no
15-25,some HS,low,part-time,1,no,white,male,no
15-25,some HS,very low,part-time,3,no,white,male,no
15-25,some college,low,part-time,3,no,white,male,no
15-25,some HS,low,full-time,1,no,white,male,no
15-25,some college,middle class,full-time,3,no,white,female,no
15-25,some HS,low,full-time,3,yes,white,male,no
15-25,some HS,low,full-time,1,no,white,male,no
15-25,some college,middle class,full-time,2,no,white,male,no
15-25,some college,middle class,full-time,3,no,white,male,yes
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,low,part-time,3,no,white,female,no
15-25,some college,low,full-time,1,yes,white,female,no
15-25,some college,low,full-time,3,no,white,female,no
15-25,some college,middle class,full-time,2,no,white,male,yes
15-25,some college,low,few,1,no,white,female,no
15-25,some college,middle class,few,3,no,white,male,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,low,part-time,1,no,white,male,no
15-25,some HS,very low,part-time,3,no,white,male,no
15-25,some college,low,part-time,3,no,white,male,no
15-25,some HS,low,full-time,1,no,white,male,no
15-25,some HS,low,full-time,2,no,white,male,no
15-25,some HS,very low,full-time,3,no,white,male,no
15-25,some college,low,full-time,1,no,black,male,no
15-25,some college,low,full-time,2,no,white,male,no
15-25,some college,low,full-time,2,no,white,male,no
15-25,HS grad,low,overtime,1,no,white,male,no
15-25,some HS,low,overtime,3,no,white,male,no
15-25,HS grad,very low,few,3,no,white,male,no
15-25,some college,middle class,few,1,no,white,male,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,some HS,low,few,3,no,white,male,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some college,low,few,3,no,white,female,no
15-25,some HS,low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
15-25,HS grad,low,few,2,no,white,male,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,white,male,no
