Education,Default,HHInsurance,CarLoan,PrevAttempts,AgeBin,BalanceBin,CallLengthBin,CallStartHour,LastContactMon,Job,Marital,Communication,Outcome,CarInsurance
1,0,0,0,0,3,1,1,15,5,6,1,1,0,1
2,0,0,0,0,3,1,1,9,11,5,1,1,0,0
3,0,0,0,0,1,1,1,17,8,10,1,1,0,1
2,0,1,0,0,2,1,1,15,2,1,1,1,0,0
3,0,0,0,0,1,1,1,10,8,5,1,1,0,0
3,0,0,0,0,3,1,1,10,5,5,1,1,0,1
2,0,0,1,0,2,1,1,9,7,2,2,2,0,0
2,0,1,0,0,3,1,1,13,7,2,1,1,0,1
2,0,0,0,0,3,1,1,9,6,10,1,1,0,1
2,0,1,0,0,1,1,1,12,5,2,2,0,0,0
3,0,1,0,0,1,1,1,15,3,5,1,1,0,0
3,0,1,0,0,1,1,1,13,5,1,1,0,0,0
3,0,0,0,1,1,1,1,10,4,5,1,1,3,1
2,0,1,1,0,2,1,1,16,7,8,1,1,0,1
2,0,0,0,1,3,1,1,17,2,6,1,1,3,1
3,0,0,0,1,1,1,1,14,8,5,1,1,1,1
3,1,0,0,0,2,1,1,13,7,5,1,1,0,0
3,0,0,0,0,2,1,1,11,2,10,2,1,0,1
3,0,0,0,0,2,1,1,10,12,5,0,1,0,1
3,0,0,0,0,3,1,1,13,11,3,1,2,0,1
1,0,0,0,0,2,1,2,14,6,11,1,0,0,1
1,0,0,0,1,3,1,1,16,9,2,1,1,3,1
1,0,0,1,0,3,1,1,9,7,6,0,1,0,0
3,0,0,0,0,1,1,2,15,8,10,0,1,0,1
2,0,1,1,1,2,1,2,12,11,2,1,1,2,1
3,0,0,0,0,1,1,3,9,11,9,2,1,0,1
2,0,1,0,0,2,1,1,12,8,1,1,1,0,0
3,0,0,1,0,3,1,1,9,7,5,1,2,0,0
3,0,0,0,0,2,1,2,14,12,5,1,1,0,1
3,0,0,0,0,3,1,1,14,3,5,1,1,0,0
3,0,1,0,1,2,1,1,15,4,10,0,1,1,0
2,0,0,1,0,3,1,1,12,7,6,1,1,0,0
2,0,0,0,1,2,1,1,13,8,1,1,1,2,1
3,0,0,0,0,2,1,1,14,11,5,0,1,0,1
2,0,0,0,0,1,1,1,11,7,8,2,1,0,1
1,0,1,0,1,1,1,1,14,5,2,2,1,1,0
3,0,0,0,1,3,1,1,16,8,10,1,1,3,0
2,0,1,1,0,2,1,1,11,5,2,1,1,0,0
2,0,0,0,0,1,1,1,10,2,11,2,1,0,0
2,0,0,1,0,2,1,1,14,7,8,1,1,0,0
2,0,1,0,0,1,1,1,14,4,8,2,1,0,0
2,0,0,0,0,3,1,1,15,1,3,1,2,0,1
2,0,0,0,1,1,1,1,11,7,9,2,1,2,1
3,0,0,0,1,2,1,1,16,10,5,2,2,2,1
2,0,1,1,0,1,1,1,13,5,2,2,0,0,0
1,0,0,0,0,2,1,1,13,6,2,1,0,0,0
3,0,1,0,2,2,1,1,10,5,10,2,1,1,0
3,0,0,0,1,3,1,2,10,8,5,0,1,1,1
2,0,1,0,0,4,1,1,10,10,6,0,1,0,1
3,0,1,0,0,3,1,1,12,5,10,0,0,0,0
1,0,0,0,0,3,1,1,15,6,2,1,1,0,1
1,0,0,0,0,1,1,1,9,4,11,2,1,0,1
2,0,0,0,2,3,1,1,17,8,6,1,1,3,1
2,0,1,0,0,2,1,1,13,6,10,1,0,0,0
2,0,1,1,1,3,1,1,17,11,2,1,1,2,0
3,0,1,0,0,1,1,1,9,11,5,2,1,0,0
1,0,0,0,0,2,1,1,13,4,2,2,0,0,1
2,0,0,0,0,3,1,1,17,5,2,1,1,0,1
2,0,0,0,0,3,1,1,16,6,6,1,0,0,0
2,0,0,0,0,3,1,1,9,8,6,1,1,0,0
2,0,0,0,0,3,1,1,13,6,2,1,0,0,0
2,0,1,0,0,1,1,1,10,5,2,2,0,0,1
2,0,0,1,0,3,1,1,17,2,11,0,1,0,0
2,0,0,0,0,2,1,1,10,8,8,1,1,0,1
2,0,0,0,0,1,1,1,10,4,5,2,1,0,1
2,0,0,1,0,3,1,1,16,7,10,1,0,0,0
2,0,0,0,0,2,1,1,10,7,10,2,2,0,0
2,0,1,0,0,2,1,1,13,11,2,1,1,0,0
2,0,0,0,1,3,1,1,9,3,8,0,1,3,1
2,0,1,0,0,2,1,3,11,11,10,1,1,0,1
3,0,1,0,0,2,1,1,9,8,5,2,1,0,0
2,0,1,0,0,1,1,1,11,5,8,2,0,0,0
3,0,0,0,5,1,1,1,10,10,7,2,1,3,1
3,0,1,0,0,1,1,1,9,5,2,1,0,0,0
2,0,0,0,1,3,1,1,9,9,10,0,1,1,1
3,0,0,0,0,3,1,1,11,8,6,1,1,0,1
2,0,1,1,0,1,1,1,14,5,8,1,0,0,0
2,0,1,1,0,2,1,1,12,7,8,1,1,0,0
2,0,0,0,1,2,1,1,17,5,1,1,1,3,1
3,0,0,0,0,2,1,1,11,6,10,0,0,0,1
2,0,0,0,0,2,1,1,10,4,10,1,0,0,1
3,0,1,0,1,1,1,1,12,10,5,2,1,3,1
3,0,0,0,0,1,1,1,10,8,5,1,1,0,0
3,0,0,0,1,1,1,1,14,10,5,2,1,2,1
1,0,1,1,0,3,1,1,16,5,2,0,0,0,0
3,0,0,0,0,2,1,2,11,8,7,1,1,0,1
2,0,0,0,0,3,1,1,9,5,2,0,1,0,0
1,0,0,0,0,2,1,1,16,6,11,0,0,0,0
2,0,1,0,1,2,1,1,14,9,9,2,0,3,0
1,0,0,0,0,3,1,1,10,7,4,1,2,0,0
3,0,0,0,0,1,1,1,16,6,5,2,1,0,1
2,0,1,0,0,3,1,1,11,5,1,1,1,0,1
3,0,1,1,0,2,1,1,17,7,5,1,1,0,0
3,0,1,0,0,2,1,1,13,11,7,0,1,0,0
3,0,0,0,1,2,1,1,15,11,5,1,1,1,1
1,0,1,0,1,1,1,1,12,5,2,1,1,1,0
1,0,0,0,0,3,1,2,10,8,2,1,1,0,1
2,0,0,0,0,2,1,1,9,6,1,1,0,0,0
3,0,0,0,0,2,1,1,17,7,10,2,1,0,1
2,0,0,0,0,3,1,1,11,8,1,1,1,0,0
2,0,0,0,0,2,1,1,9,8,1,1,1,0,0
2,0,1,1,0,2,1,2,13,5,10,2,0,0,0
2,1,0,0,0,3,1,2,15,1,10,0,1,0,1
1,0,1,0,1,2,1,1,15,4,2,1,1,1,0
3,0,0,0,1,2,1,2,13,4,5,1,1,1,1
2,0,1,0,0,2,1,2,11,11,3,1,1,0,1
2,0,1,1,1,3,1,1,9,7,1,1,1,1,0
3,0,0,0,1,3,1,1,9,11,10,0,1,3,1
2,0,1,0,1,2,1,1,13,4,8,1,1,1,0
2,0,0,0,0,2,1,2,12,7,1,1,1,0,1
2,0,1,0,0,1,1,1,14,6,11,2,1,0,1
3,0,0,0,1,1,1,1,10,7,5,2,1,1,1
2,0,0,0,0,2,1,1,13,2,8,2,1,0,0
2,0,1,0,0,1,1,1,16,1,8,1,1,0,0
3,0,0,0,0,3,1,1,17,3,6,1,1,0,1
1,0,1,0,0,1,1,1,9,5,2,2,1,0,0
3,0,0,0,1,2,1,1,11,11,5,1,1,3,1
2,0,1,1,0,1,1,1,11,5,5,1,1,0,1
3,0,1,0,0,2,1,2,9,7,5,1,1,0,0
2,0,1,0,0,1,1,1,16,5,2,1,0,0,0
2,0,1,0,0,2,1,1,12,1,2,1,1,0,0
2,0,0,1,0,2,1,1,17,6,10,1,0,0,0
3,0,0,0,1,3,1,1,14,5,6,0,1,3,1
3,0,1,0,1,1,1,1,17,5,9,2,1,1,0
3,0,1,0,0,1,1,1,9,5,5,2,1,0,1
3,0,1,0,1,2,1,1,13,2,5,0,1,2,0
3,0,0,0,0,1,1,1,12,8,5,2,1,0,1
2,0,1,1,1,1,1,1,15,8,10,1,1,1,0
2,0,0,0,1,2,1,1,15,10,10,2,1,3,1
2,0,1,0,0,1,1,1,14,5,10,1,1,0,0
2,0,0,0,0,1,1,1,13,7,10,2,0,0,1
3,0,0,0,0,2,1,1,14,11,3,1,1,0,0
2,0,0,0,0,3,1,1,15,11,1,1,1,0,0
3,0,1,0,0,2,1,1,15,8,5,1,1,0,0
2,0,1,0,0,2,1,1,17,8,10,1,1,0,0
0,0,0,0,1,2,1,1,16,10,0,2,1,3,1
3,0,1,1,0,3,1,1,9,5,5,1,0,0,0
2,0,1,0,0,2,1,1,10,5,10,1,0,0,0
2,0,0,0,0,3,1,1,17,6,10,1,0,0,0
1,0,1,0,0,3,1,1,15,8,6,1,1,0,1
2,0,1,0,1,2,1,1,15,2,2,1,1,1,1
2,0,1,0,1,2,1,1,9,4,10,1,1,3,0
2,0,1,0,0,2,1,1,17,4,2,1,1,0,1
3,0,0,0,0,2,1,1,11,11,5,0,1,0,0
2,0,1,0,0,1,1,1,15,5,10,1,0,0,0
3,0,0,0,0,1,1,1,14,5,1,0,1,0,1
3,0,1,0,0,2,1,1,13,6,5,2,0,0,0
2,0,1,0,0,2,1,1,9,7,2,1,1,0,1
3,0,0,0,0,2,1,1,17,6,7,1,0,0,1
2,0,0,0,0,1,1,1,14,9,11,2,1,0,0
1,0,1,0,0,3,1,1,12,7,2,1,1,0,0
3,0,1,0,0,2,1,1,12,3,5,0,1,0,1
2,0,1,0,0,2,1,1,9,5,8,2,0,0,0
1,0,1,0,0,2,1,1,9,5,2,1,0,0,0
2,0,0,1,0,2,1,2,13,7,2,1,1,0,1
3,0,0,0,0,2,1,1,14,10,2,2,1,0,0
1,0,0,0,0,2,1,1,9,6,2,1,0,0,0
2,0,0,1,0,2,1,1,9,7,10,1,1,0,0
2,1,0,1,0,2,1,1,17,7,2,1,1,0,1
2,0,1,1,0,2,1,2,15,7,1,1,1,0,1
3,0,0,0,0,1,1,1,9,7,3,1,1,0,1
2,0,1,0,0,3,1,1,11,6,1,1,0,0,0
3,0,1,0,0,2,1,1,16,5,7,1,1,0,0
2,0,0,0,0,2,1,1,10,7,8,1,2,0,0
2,0,0,0,0,4,1,2,11,2,10,1,1,0,1
1,0,0,0,1,3,1,1,13,8,2,1,1,3,1
2,0,1,0,0,2,1,1,12,6,2,1,0,0,0
2,0,1,0,0,2,1,1,15,6,3,1,0,0,0
3,0,0,0,0,3,1,1,17,11,4,1,1,0,0
2,0,0,0,1,2,1,1,16,2,11,0,1,3,1
3,0,0,0,1,2,1,1,15,7,5,2,1,2,1
2,0,0,0,0,3,1,1,14,8,10,1,1,0,0
2,0,1,0,0,3,1,2,9,5,10,1,0,0,0
3,0,0,0,0,2,1,1,11,8,5,1,1,0,0
1,0,1,0,0,3,1,1,12,7,4,0,1,0,0
2,1,1,0,0,2,1,1,9,7,2,1,1,0,0
2,0,1,0,0,1,1,1,12,2,2,1,1,0,0
2,1,0,1,0,2,1,1,17,7,5,1,1,0,0
3,0,0,0,0,3,1,2,10,6,7,0,0,0,1
2,0,1,1,0,1,1,1,13,5,8,1,0,0,0
3,0,0,0,0,1,1,2,15,8,5,2,1,0,1
2,0,0,0,3,3,1,1,10,10,6,0,1,3,1
2,0,0,0,0,2,1,1,17,8,2,1,1,0,0
3,0,0,0,1,1,1,1,16,9,9,2,1,1,1
2,0,1,0,1,2,1,1,10,2,8,1,1,1,0
3,0,0,0,0,2,1,1,15,7,3,1,1,0,0
2,0,0,1,0,1,1,4,12,7,2,2,1,0,1
2,0,0,0,0,3,1,1,11,11,11,1,1,0,0
2,0,0,0,0,1,1,1,17,6,1,1,0,0,0
2,0,1,0,0,2,1,1,15,4,2,1,1,0,0
2,0,0,1,0,2,1,1,14,6,8,1,0,0,0
3,0,1,0,0,2,1,1,10,7,1,2,1,0,0
2,0,0,0,0,1,1,1,12,6,9,2,1,0,0
3,0,1,0,1,1,1,1,14,6,7,2,1,3,1
3,0,0,0,0,1,1,1,13,5,1,2,1,0,0
2,0,1,0,1,1,1,2,12,5,8,2,1,1,1
3,0,0,1,0,2,1,1,9,6,3,0,0,0,0
3,0,0,0,0,2,1,1,15,8,5,1,1,0,0
3,0,1,0,1,1,1,1,12,10,5,2,1,1,0
3,0,0,0,0,2,1,1,14,4,5,1,1,0,1
3,0,0,0,0,2,1,1,10,7,5,1,1,0,1
3,0,0,0,0,2,1,1,15,8,10,2,1,0,0
3,0,1,0,0,2,1,1,9,5,3,1,0,0,0
2,0,0,0,1,1,1,1,13,8,9,2,1,3,1
3,0,1,0,1,1,1,1,14,5,5,2,1,1,0
2,0,0,0,0,1,1,1,12,4,9,2,1,0,1
2,0,0,0,0,3,1,1,11,2,6,1,1,0,0
3,0,0,0,0,1,1,1,9,1,5,1,1,0,0
2,0,0,0,0,1,1,1,15,4,9,2,2,0,1
3,0,1,0,0,2,1,1,15,2,5,1,1,0,0
2,0,0,0,0,1,1,1,15,8,10,2,1,0,0
2,0,1,1,0,2,1,1,17,10,1,0,2,0,1
2,0,1,0,5,3,1,1,14,1,8,0,1,2,1
2,0,1,0,1,2,1,1,17,11,2,1,2,1,0
3,0,1,0,0,3,1,1,13,11,5,0,1,0,0
2,0,1,0,1,2,1,1,17,5,10,2,1,1,0
2,0,0,0,1,1,1,1,15,11,8,1,1,1,1
2,0,1,0,0,1,1,1,17,5,2,2,0,0,0
3,0,0,0,0,1,1,1,10,8,7,1,1,0,1
2,0,1,0,1,3,1,1,17,4,1,0,1,2,0
2,0,1,0,2,2,1,1,9,2,2,1,1,3,1
2,0,0,0,0,1,1,1,13,7,7,2,1,0,0
2,0,1,0,0,3,1,1,10,5,10,1,0,0,0
3,0,1,0,1,1,1,1,15,11,10,2,1,1,0
1,0,0,0,1,4,2,1,16,3,6,1,1,2,1
2,0,1,0,0,1,1,1,17,5,5,2,0,0,0
2,0,0,0,1,1,1,1,13,8,2,2,1,3,1
2,0,1,0,0,2,1,1,14,4,2,1,1,0,0
2,0,0,0,0,3,1,2,12,8,5,1,1,0,1
3,0,0,0,0,2,1,2,9,8,5,0,1,0,1
2,0,1,0,0,1,1,1,12,6,2,2,0,0,1
3,0,1,0,1,3,1,1,14,6,5,1,1,3,1
2,0,0,0,0,1,1,1,13,7,9,2,1,0,1
2,0,1,0,0,1,1,2,12,4,10,2,1,0,1
2,0,1,0,0,2,1,1,15,5,1,1,1,0,1
2,0,1,0,0,2,1,1,12,7,2,2,1,0,1
2,0,0,0,0,2,1,2,13,6,8,0,0,0,1
2,0,1,0,0,1,1,1,16,5,2,1,0,0,0
2,0,0,0,0,3,1,1,16,7,10,1,1,0,1
3,0,1,0,0,1,1,1,12,7,10,2,1,0,0
2,0,1,0,0,1,1,1,17,5,8,0,0,0,0
2,0,1,0,0,1,1,1,15,7,10,2,1,0,0
2,0,0,0,1,2,1,1,16,10,10,2,1,2,0
2,0,0,0,0,2,1,1,16,10,10,1,1,0,1
3,0,1,0,0,2,1,1,14,4,5,2,1,0,1
2,0,0,0,0,2,1,1,15,7,8,1,1,0,0
2,0,1,0,0,1,1,1,17,5,10,1,1,0,1
2,0,1,0,0,2,1,1,11,7,2,0,1,0,0
2,0,1,0,0,1,1,1,14,5,7,1,1,0,0
3,0,0,0,0,3,1,1,15,8,6,1,1,0,0
2,0,0,0,0,1,1,1,14,11,10,2,1,0,0
2,0,1,0,0,2,1,1,16,5,2,2,0,0,0
3,0,1,0,0,2,1,1,13,6,2,1,0,0,0
1,0,1,0,0,2,1,1,12,5,2,2,0,0,0
2,0,1,0,1,1,1,1,15,6,5,1,1,1,0
2,0,1,0,0,2,1,2,12,7,1,1,2,0,1
2,0,1,0,0,2,1,1,11,5,2,1,0,0,0
2,0,0,0,0,1,1,1,14,1,9,2,1,0,0
1,0,1,0,0,3,1,1,10,4,2,1,1,0,0
3,0,0,0,0,2,1,1,13,5,5,2,1,0,1
1,0,1,0,0,3,1,1,17,5,5,1,0,0,0
2,0,0,0,0,2,1,1,9,7,8,1,1,0,0
2,0,1,0,0,1,1,1,9,5,2,2,1,0,0
2,0,1,1,1,1,1,1,14,2,10,2,1,2,0
2,0,0,1,0,3,1,2,17,2,2,0,1,0,1
2,0,0,1,0,3,1,1,12,7,10,0,1,0,0
3,0,0,0,0,2,1,1,9,5,10,2,1,0,0
2,0,1,0,0,1,1,1,14,4,11,2,1,0,0
2,0,1,0,0,1,1,1,17,11,8,2,1,0,1
2,0,1,0,1,2,1,1,11,2,1,0,1,1,0
2,0,0,0,1,1,1,2,13,2,9,2,1,1,1
2,0,0,0,1,3,1,1,13,4,6,1,1,3,1
2,0,0,0,0,2,1,1,17,6,2,1,0,0,0
2,0,0,0,0,1,1,1,14,1,1,2,1,0,0
3,0,0,0,0,2,1,1,14,8,10,1,1,0,0
2,0,1,0,0,3,1,1,13,8,8,1,1,0,0
2,0,0,0,0,2,1,1,11,2,10,0,1,0,0
2,0,1,0,0,2,1,1,10,4,8,1,1,0,0
2,0,0,0,0,3,1,2,16,11,6,1,1,0,1
2,0,0,0,0,2,1,1,15,8,10,1,1,0,0
3,0,1,1,0,1,1,1,14,5,10,2,1,0,1
2,0,1,0,0,3,1,1,12,5,1,1,0,0,0
3,0,1,0,1,2,1,1,15,5,4,1,1,1,1
2,0,0,0,0,2,1,1,12,6,2,2,0,0,0
1,0,1,1,0,1,1,2,14,11,8,2,1,0,1
2,0,0,0,0,2,1,1,16,12,8,1,1,0,1
2,0,1,0,0,1,1,1,17,5,2,2,1,0,1
2,0,0,0,1,1,1,1,15,8,1,1,1,1,0
1,0,1,1,0,3,1,2,16,5,2,1,0,0,1
1,0,1,0,0,2,1,1,17,6,11,1,0,0,0
3,0,0,0,0,1,1,1,12,4,5,1,1,0,1
2,0,0,0,0,3,1,1,14,6,11,0,0,0,0
2,0,1,0,0,1,1,1,14,5,10,1,0,0,0
3,0,1,0,0,1,1,1,16,1,5,2,1,0,0
2,0,0,1,0,2,1,1,17,10,2,0,2,0,0
2,0,1,0,0,1,1,1,9,11,1,2,1,0,1
2,0,1,0,0,2,1,1,14,2,2,1,1,0,0
1,0,1,0,3,3,1,2,14,5,2,0,1,1,1
3,0,1,0,0,2,1,1,17,5,5,1,1,0,1
3,0,1,0,0,1,1,1,11,7,1,2,1,0,1
2,0,1,0,0,1,1,1,16,7,1,0,1,0,1
2,0,0,0,1,4,1,1,13,4,6,1,1,1,0
3,0,0,0,0,1,1,1,14,8,5,2,1,0,0
2,0,1,1,3,2,1,2,12,5,8,0,1,1,1
2,0,1,0,1,1,1,1,16,4,8,1,1,1,0
2,0,0,0,0,2,1,1,17,9,1,1,1,0,1
3,0,1,0,1,2,1,1,11,5,5,2,1,3,0
3,0,1,0,0,3,1,1,9,7,5,1,2,0,0
1,0,1,0,0,2,1,1,13,5,2,1,1,0,0
3,0,0,1,0,2,1,2,17,7,5,2,1,0,1
1,0,0,0,0,4,1,1,17,11,6,0,1,0,1
2,0,1,0,0,3,1,2,10,5,11,0,0,0,1
3,0,1,0,0,2,1,1,14,7,5,0,1,0,0
3,0,1,0,0,1,1,2,9,5,5,1,1,0,1
2,0,1,1,1,1,1,1,17,4,2,2,1,1,1
2,0,1,0,1,1,1,3,13,2,1,2,1,1,1
3,0,0,0,0,3,2,1,12,11,5,1,2,0,0
3,0,1,0,0,1,1,1,15,7,5,2,1,0,1
2,0,0,0,0,3,1,1,9,3,6,1,1,0,0
1,0,1,0,0,1,1,1,15,5,2,1,1,0,0
1,0,1,0,0,3,1,1,10,5,2,0,0,0,0
3,0,1,0,0,2,1,1,15,5,5,1,0,0,1
2,0,1,0,2,1,1,1,12,9,10,2,1,3,1
3,0,0,0,0,3,1,1,13,8,5,0,1,0,0
3,0,0,0,0,1,1,1,10,8,5,1,1,0,1
3,0,0,0,1,1,1,1,14,12,4,2,1,3,1
2,0,1,0,0,1,1,1,16,5,1,1,1,0,0
2,0,1,0,0,2,1,1,16,5,10,2,1,0,1
2,0,0,1,0,2,1,1,13,7,1,1,2,0,1
3,0,0,0,1,2,1,1,14,5,5,2,1,2,0
3,0,1,0,1,1,1,1,10,9,1,2,1,3,1
2,0,1,0,1,1,1,1,16,11,8,1,1,1,1
3,0,0,0,0,3,1,1,16,8,10,1,1,0,0
2,0,1,0,0,2,1,1,17,4,2,1,2,0,0
1,0,1,0,0,2,1,1,12,5,2,1,0,0,0
1,0,0,0,0,2,1,1,15,8,2,1,1,0,0
3,0,1,0,0,2,1,1,10,7,5,1,1,0,0
1,0,1,0,0,2,1,1,15,7,4,1,1,0,0
3,0,0,0,0,1,1,3,13,8,10,2,1,0,1
1,0,0,0,0,3,1,1,17,8,2,1,1,0,0
3,0,0,0,0,1,1,1,14,8,5,0,1,0,0
3,0,1,1,0,2,1,1,14,5,5,1,2,0,0
2,0,1,0,0,2,1,1,17,5,10,2,1,0,0
2,0,1,0,0,2,1,2,17,4,2,1,1,0,0
2,0,0,0,0,1,1,1,14,5,9,2,0,0,0
2,0,0,1,1,2,1,1,16,2,10,1,1,1,0
2,0,1,0,0,2,1,1,12,4,10,1,1,0,1
2,0,1,0,0,2,1,1,14,7,5,1,1,0,0
2,0,1,1,0,2,1,1,10,11,11,0,1,0,0
2,0,1,0,0,1,1,1,12,5,2,2,0,0,0
3,0,0,0,0,2,1,1,14,7,5,1,1,0,1
2,0,0,0,1,4,1,1,15,4,6,1,1,2,1
2,0,0,0,0,1,1,2,12,6,2,2,0,0,1
3,0,0,0,0,2,1,2,11,11,5,1,1,0,1
3,0,0,0,0,1,1,1,16,8,1,1,1,0,0
3,0,0,0,0,2,1,2,13,4,1,1,1,0,1
3,0,1,0,0,2,1,1,14,7,5,1,1,0,1
1,0,1,0,0,1,1,2,11,5,2,2,1,0,1
